"","assists","baronKills","bountyLevel","champExperience","champLevel","championId","championName","championTransform","consumablesPurchased","damageDealtToBuildings","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","deaths","detectorWardsPlaced","doubleKills","dragonKills","firstBloodAssist","firstBloodKill","firstTowerAssist","firstTowerKill","gameEndedInEarlySurrender","gameEndedInSurrender","goldEarned","goldSpent","individualPosition","inhibitorKills","inhibitorsLost","item0","item1","item2","item3","item4","item5","item6","itemsPurchased","killingSprees","kills","lane","largestCriticalStrike","largestKillingSpree","largestMultiKill","longestTimeSpentLiving","magicDamageDealt","magicDamageDealtToChampions","magicDamageTaken","neutralMinionsKilled","nexusKills","nexusLost","objectivesStolen","objectivesStolenAssists","participantId","pentaKills","physicalDamageDealt","physicalDamageDealtToChampions","physicalDamageTaken","profileIcon","puuid","quadraKills","riotIdName","riotIdTagline","role","sightWardsBoughtInGame","spell1Casts","spell2Casts","spell3Casts","spell4Casts","summoner1Casts","summoner1Id","summoner2Casts","summoner2Id","summonerId","summonerLevel","summonerName","teamEarlySurrendered","teamId","teamPosition","timeCCingOthers","timePlayed","totalDamageDealt","totalDamageDealtToChampions","totalDamageShieldedOnTeammates","totalDamageTaken","totalHeal","totalHealsOnTeammates","totalMinionsKilled","totalTimeCCDealt","totalTimeSpentDead","totalUnitsHealed","tripleKills","trueDamageDealt","trueDamageDealtToChampions","trueDamageTaken","turretKills","turretsLost","unrealKills","visionScore","visionWardsBoughtInGame","wardsKilled","wardsPlaced","win","raph_score"
"1430",9,0,0,14682,15,99,"Lux",0,5,2562,3860,2562,10158,5,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11241,10650,"UTILITY",0,2,3853,3157,3020,6655,3041,1058,3364,19,2,7,"BOTTOM",0,4,1,902,77707,25477,7297,1,0,1,0,0,10,0,3555,775,8987,3545,"--ihbike3KyJlJViLR3sX-xqgBS_h4twBMfg7YHUuOqh7O1dDdpih1VILKxYtE_Ya_7REXXeoy05Cw",0,NA,NA,"SUPPORT",0,76,36,166,13,5,3,4,4,"UqrJoqJEZp6HH61npoN_frwPh4dkwcz__txJjsPL_FjiDt96",70,"SweetLego",FALSE,200,"UTILITY",78,2072,81401,26324,1514,17611,2872,0,77,333,110,1,0,138,72,1327,1,10,0,41,2,3,20,FALSE,5.81568005643789
"1431",9,0,0,16563,17,62,"MonkeyKing",0,1,2992,5448,2992,29435,9,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15201,14483,"TOP",0,2,3075,3078,3006,3074,3036,3801,3340,23,2,8,"TOP",460,3,1,686,28969,7532,14394,8,0,1,0,0,1,0,103230,23672,23653,4881,"lF4doN3_xlcCar5bqzou-wv22lnDll8j2l35517K9_khpYqlcn-B3fKffNBeTvIbImUsmdTsaAmVAw",0,NA,NA,"SOLO",0,56,46,70,32,6,4,2,12,"IIqr7ZypQNdmPoPoHjpIQ8slDQldu2e279yaEbqhDR2rDJEa",40,"Ink In Ocean",FALSE,100,"TOP",23,2599,138620,31325,0,39898,6156,0,166,49,375,1,0,6420,120,1850,2,7,0,17,0,0,10,FALSE,5.18571343265457
"1432",19,0,0,18144,17,427,"Ivern",0,4,289,14616,289,30416,10,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13116,12675,"JUNGLE",0,2,6617,3158,3075,6616,3742,3066,3364,22,1,3,"JUNGLE",5,2,1,421,33054,13381,12131,195,0,1,0,0,2,0,12919,5542,17456,4881,"xKzGh418x9pTaHvU1sSilkYgFSO6l6h65QvHQiI_--4QPlBgajKT9AsvwkVmb2wVYIQMKYfYKJqncg",0,NA,NA,"NONE",0,93,39,80,27,25,11,6,4,"XbFHObt5CQ0vfvjIoy4F-4QW-BgWrAVCGKH_O5B7KkCRN8E",158,"Howeyourfelling",FALSE,100,"JUNGLE",116,2599,610040,20052,10060,32809,18144,11541,34,416,393,5,0,564066,1128,3221,0,7,0,26,1,6,7,FALSE,11.3908466508827
"1433",17,0,0,17205,17,99,"Lux",0,3,1506,3346,1506,13061,9,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11637,10675,"MIDDLE",0,2,1056,6655,3020,4628,3157,0,3340,20,0,3,"MIDDLE",0,0,1,530,156163,40357,11489,0,0,1,0,0,3,0,12431,1774,11636,4804,"P6tj5i3PJUmnoBsBjiglwHiYkXiY0t87m6xQV99ZFChCf2Cf4w_hxAlhXmIQkm7KE9EJEX0r8VmDZA",0,NA,NA,"SOLO",0,93,37,227,32,6,21,5,4,"molHDD1M8qcPB7qjV3CI9ZaVAA2DLHpI1hptnUYhzEt9-yCa",72,"RobinMellow",FALSE,100,"MIDDLE",88,2599,174042,43741,4133,24874,1504,0,168,497,319,1,0,5447,1610,1748,0,7,0,34,1,2,12,FALSE,5.92064139133091
"1434",5,0,0,17009,17,51,"Caitlyn",0,3,3937,20822,3937,14531,8,1,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18728,24225,"BOTTOM",0,2,3094,6672,3006,6676,3031,3026,3363,28,5,15,"BOTTOM",1772,4,2,615,8768,2711,13788,30,0,1,0,0,4,0,259249,36910,16689,4895,"X3pZjykRai1Kuw4NZP3p5Nh_qm8CLk_aqx3qy6yNVD3MOZvK66X8vP3cI0V3K2ybjW-_dLfy9eUFog",0,NA,NA,"CARRY",0,78,67,39,11,8,7,6,4,"ox7eUSgSrKsBWh2c9ztolYxV_g0n5kBvFpagx978aMmuRDEL",333,"Tofu Thunder",FALSE,100,"BOTTOM",48,2599,301540,45438,0,31169,12012,1168,237,266,220,5,0,33521,5816,691,1,7,0,33,1,3,16,FALSE,9.10053033329987
"1435",16,0,0,13140,15,89,"Leona",0,2,1123,1445,1123,67602,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10139,10100,"UTILITY",0,2,3860,3068,3157,3117,3075,1027,3364,25,0,1,"BOTTOM",6,0,1,433,53547,21871,14134,4,0,1,0,0,5,0,12957,3115,26360,682,"5PKl1GBs1B7rCsGvxL43sE_bExB5L4cizi0QqLQ4CsbmVYl3WBJsrPjvvZ48Q3QKALKpy9ydSq4IrQ",0,NA,NA,"SUPPORT",0,94,73,45,21,10,14,6,4,"HprRMrMcJJNHWZNlTbf_vcKC4GK4JcdSjm5YyhypZW3TlBQ",326,"Primenati",FALSE,100,"UTILITY",73,2599,80374,27158,0,44990,3286,733,62,155,465,5,0,13869,2170,4494,0,7,0,62,0,3,33,FALSE,4.36340661837942
"1436",19,0,3,21740,18,31,"Chogath",0,1,5119,23141,5119,85889,5,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16719,14300,"TOP",0,0,4401,3193,3047,3075,6662,3082,3340,22,2,10,"TOP",23,4,1,789,140640,24966,20744,12,0,0,0,0,6,0,40339,2719,29118,15,"PQTk1-DcDDbeNfOl1z0hM6rldlit0fteb-udDL-OJ5qJp9d62SSTqrtGIGUonv5FbzlGNMkDuYC4tA",0,NA,NA,"SOLO",0,65,58,91,19,5,12,5,4,"q1PSakILD9EOBl8wojPa-1D1PjUidDE305pYB6RRbp907WSb80IxaWA0bw",77,"maczee",FALSE,200,"TOP",184,2599,209858,33962,0,53161,17821,0,217,1863,211,1,0,28878,6277,3298,1,3,0,23,0,1,13,TRUE,11.2201712106762
"1437",28,1,0,20564,18,77,"Udyr",0,0,669,30992,669,80426,6,0,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15266,13300,"JUNGLE",0,0,6664,3742,3111,3075,3100,1029,3340,18,3,6,"JUNGLE",18,2,1,610,147539,9433,21170,152,0,0,0,0,7,0,56546,4663,32882,4866,"ZOCgQMlwGHTIbuZ4-Ol01wuq46WB1oxZER9CxD4fMxw2IvKx2SgLS8tqv6aTDhE3Bez2qdA9r3PShg",0,NA,NA,"NONE",0,0,54,185,131,7,4,18,11,"RgFFBxCfCT1NqlfYl2Xu4jaP8RUz5fVInliK6YtzOdPZAAQ",153,"BeanSlayer69",FALSE,200,"JUNGLE",53,2599,220863,15474,0,56535,18687,0,49,303,246,1,0,16778,1378,2482,0,3,0,25,0,2,13,TRUE,10.5661449684713
"1438",17,0,0,19133,18,5,"XinZhao",0,9,5837,17141,5837,38042,7,4,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17328,15900,"MIDDLE",0,0,3053,6692,3181,3153,1038,3006,3340,35,3,14,"MIDDLE",0,6,2,548,3440,1635,22985,8,1,0,0,0,8,0,189836,35980,23544,4498,"TMVX-yoEr2eaBMqiwlKuDgY9UQMlpR700t_0DGbi8InEKzDUNUIXWrA376qE8-JpTRuPFH0Icd64yg",0,NA,NA,"SOLO",0,38,71,0,14,8,14,6,4,"XbCpXLMO-y5STBta1sFXzgwNg25S27Hitj4GnI8f5SCt-BYS",101,"Errar1sm",FALSE,200,"MIDDLE",39,2599,200919,39150,0,48479,21573,0,204,244,305,1,0,7642,1534,1949,3,3,0,24,4,0,14,TRUE,9.87107814524788
"1439",19,0,5,17790,17,81,"Ezreal",0,7,8334,20100,8334,16370,7,2,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18361,15750,"BOTTOM",2,0,3074,3508,6632,6694,3158,3134,3340,32,4,14,"BOTTOM",763,5,2,489,34936,19412,18402,22,0,0,0,0,9,0,197010,34175,20267,4568,"5FwUYIdipYAgPv-EaOADBt6AKQ9J-xHJoOGPUqFha6i8uBwDWJ-T6-SOW4SZlZZ80nXiC6-wZ1Xb8Q",0,NA,NA,"CARRY",0,337,99,86,14,6,4,10,7,"DQvc07VDafHEKZtLCxE1rf9dpQjHi2YusRbPxdW7OhLPgYI",227,"Deezy8818",FALSE,200,"BOTTOM",9,2599,235914,54609,0,41432,9017,1610,198,122,222,4,0,3967,1021,2762,3,3,0,44,4,5,17,TRUE,11.3482397175672
"1440",30,0,2,17060,17,350,"Yuumi",0,5,568,1518,568,5740,5,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12483,9525,"UTILITY",0,0,3853,6617,6616,3070,3011,1058,3364,18,2,7,"BOTTOM",0,4,1,1301,25159,9984,5509,0,0,0,0,0,10,0,1494,586,5482,4796,"M_vDt1PlWlX4ltKkWVzlTNaE_L_HohajkzL0vsYNesuWqzg4LV9oAPFl1KNkyChPipa9T6UA58S0Zw",0,NA,NA,"SUPPORT",0,73,140,113,16,8,3,9,14,"QMDMDhPof4phmbhXQ4nGUy6waMjfP_aHgyihU_H0elQW83WD",314,"Gødsbae",FALSE,200,"UTILITY",46,2599,29290,12367,4811,11343,32253,30774,13,81,198,5,0,2636,1796,351,0,3,0,83,5,1,35,TRUE,11.7696833586927
